customer_id,Recency,Frequency,Monetary,Cluster,Segment
31813,26,2,4153.05,3,Loyal Customers
61020,66,3,3124.91,3,Loyal Customers
119099,165,4,1675.0,3,Loyal Customers
188838,260,2,1916.44,2,Regular Customers
191616,165,2,1638.0300000000002,2,Regular Customers
211163,149,3,1859.08,3,Loyal Customers
243838,336,3,1975.1200000000001,3,Loyal Customers
376144,114,5,5456.429999999999,0,Premium Customers
408590,322,1,795.1,1,At Risk Customers
469006,162,3,2128.66,3,Loyal Customers
625395,34,4,5032.1,0,Premium Customers
644189,135,1,171.2,2,Regular Customers
666589,286,1,1597.71,1,At Risk Customers
701493,139,3,2361.6800000000003,3,Loyal Customers
767523,123,1,505.95,2,Regular Customers
773410,82,1,1011.9,2,Regular Customers
820740,10,3,4674.24,3,Loyal Customers
899941,340,2,708.9799999999999,1,At Risk Customers
949062,580,1,2840.58,1,At Risk Customers
954629,538,1,2014.6499999999999,1,At Risk Customers
966247,201,1,326.42,2,Regular Customers
1108176,281,2,2287.92,1,At Risk Customers
1152215,485,1,2362.2,1,At Risk Customers
1174162,19,3,4150.22,3,Loyal Customers
1200365,80,2,2030.1100000000001,2,Regular Customers
1301661,125,1,494.17,2,Regular Customers
1342184,406,2,1983.8899999999999,1,At Risk Customers
1449273,431,2,269.14,1,At Risk Customers
1469696,227,2,704.13,2,Regular Customers
1497747,522,1,343.56,1,At Risk Customers
1507408,402,3,1865.26,1,At Risk Customers
1529180,508,2,373.89,1,At Risk Customers
1562083,54,2,3141.5599999999995,3,Loyal Customers
1588560,238,2,1072.8999999999999,2,Regular Customers
1601161,70,5,2357.8199999999997,3,Loyal Customers
1603358,426,3,6212.849999999999,0,Premium Customers
1655637,370,1,964.12,1,At Risk Customers
1683786,163,2,2457.17,3,Loyal Customers
1697604,281,3,1371.42,3,Loyal Customers
1705969,267,2,2481.09,3,Loyal Customers
1719710,414,2,819.8100000000001,1,At Risk Customers
1771249,241,1,225.21,2,Regular Customers
1816969,92,2,2727.45,3,Loyal Customers
1855421,302,2,1149.06,1,At Risk Customers
1989720,92,2,3042.82,3,Loyal Customers
2058037,5,4,3387.9800000000005,3,Loyal Customers
2134827,307,1,724.84,1,At Risk Customers
2136830,423,1,657.8,1,At Risk Customers
2164524,369,4,6930.889999999999,0,Premium Customers
2188994,168,1,986.38,2,Regular Customers
2219590,58,4,8328.5,0,Premium Customers
2233446,257,2,2762.59,3,Loyal Customers
2361575,87,2,1873.3500000000001,2,Regular Customers
2365348,156,1,194.08,2,Regular Customers
2391900,485,1,1641.8,1,At Risk Customers
2400009,167,3,6684.24,0,Premium Customers
2414265,86,2,1074.09,2,Regular Customers
2442235,11,2,2285.66,2,Regular Customers
2457734,6,4,3567.3999999999996,3,Loyal Customers
2517955,252,1,675.63,2,Regular Customers
2558646,207,3,1692.04,3,Loyal Customers
2566268,8,5,2492.01,3,Loyal Customers
2584499,93,3,2754.45,3,Loyal Customers
2667357,365,1,710.8499999999999,1,At Risk Customers
2684440,165,5,4632.05,0,Premium Customers
2848415,294,1,1641.8,1,At Risk Customers
2875442,269,1,766.05,2,Regular Customers
2903620,224,2,473.09,2,Regular Customers
2928026,324,1,2147.16,1,At Risk Customers
3002538,73,2,1819.8600000000001,2,Regular Customers
3096845,364,2,1048.3799999999999,1,At Risk Customers
3100301,477,1,1296.0,1,At Risk Customers
3282647,290,2,1460.1200000000001,1,At Risk Customers
3292927,21,3,2420.6400000000003,3,Loyal Customers
3399251,335,1,66.42,1,At Risk Customers
3408982,60,4,1870.35,3,Loyal Customers
3410758,589,1,390.03,1,At Risk Customers
3421258,260,2,3367.35,3,Loyal Customers
3468355,159,1,1268.6100000000001,2,Regular Customers
3483295,239,1,1793.73,2,Regular Customers
3588443,36,2,2191.06,2,Regular Customers
3638834,390,2,2445.3,1,At Risk Customers
3660263,226,1,98.32,2,Regular Customers
3730316,23,3,1895.56,3,Loyal Customers
3786105,201,2,976.3199999999999,2,Regular Customers
3844290,34,2,2692.27,3,Loyal Customers
3872421,146,1,550.06,2,Regular Customers
3875480,513,1,369.28,1,At Risk Customers
3893903,126,1,1296.0,2,Regular Customers
3897936,34,5,3954.55,0,Premium Customers
3999964,117,2,3024.24,3,Loyal Customers
4055790,399,2,1231.5600000000002,1,At Risk Customers
4057678,36,2,1195.9,2,Regular Customers
4192351,191,1,409.79999999999995,2,Regular Customers
4200802,380,1,1157.7,1,At Risk Customers
4356173,255,3,3004.58,3,Loyal Customers
4378755,67,3,3850.0699999999997,3,Loyal Customers
4386273,78,3,2225.1000000000004,3,Loyal Customers
4394659,184,2,2418.68,3,Loyal Customers
4439806,197,3,1269.6100000000001,3,Loyal Customers
4444673,198,1,88.43,2,Regular Customers
4458329,92,1,2827.11,2,Regular Customers
4543215,333,1,671.55,1,At Risk Customers
4594944,455,1,675.46,1,At Risk Customers
4597433,71,6,9553.69,0,Premium Customers
4606533,472,1,1776.32,1,At Risk Customers
4758426,522,2,1256.56,1,At Risk Customers
4789829,249,2,2116.21,2,Regular Customers
4862761,113,2,1349.8400000000001,2,Regular Customers
4940671,353,1,2633.94,1,At Risk Customers
4988545,244,2,3399.38,3,Loyal Customers
5001749,36,2,1327.48,2,Regular Customers
5039883,92,5,5947.42,0,Premium Customers
5043760,186,2,1981.02,2,Regular Customers
5135207,442,1,2776.95,1,At Risk Customers
5140660,363,1,2467.89,1,At Risk Customers
5226128,249,2,2916.74,3,Loyal Customers
5228136,134,3,2340.32,3,Loyal Customers
5238055,123,3,1200.24,3,Loyal Customers
5277675,395,2,1686.9,1,At Risk Customers
5386246,111,3,3903.87,3,Loyal Customers
5418547,66,2,2765.1,3,Loyal Customers
5540556,31,4,1876.09,3,Loyal Customers
5607734,387,1,784.44,1,At Risk Customers
5700842,561,1,415.75,1,At Risk Customers
5712468,39,2,1927.16,2,Regular Customers
5716817,229,3,2432.06,3,Loyal Customers
5751638,334,2,881.94,1,At Risk Customers
5754255,134,3,3022.7000000000003,3,Loyal Customers
5763963,220,5,5530.43,0,Premium Customers
5901440,600,1,90.56,1,At Risk Customers
5961261,206,4,2309.94,3,Loyal Customers
6025470,388,1,217.4,1,At Risk Customers
6061349,181,3,5571.15,0,Premium Customers
6081270,434,1,446.54,1,At Risk Customers
6150721,53,5,3307.33,0,Premium Customers
6184558,573,1,688.14,1,At Risk Customers
6186471,261,1,46.62,2,Regular Customers
6245778,305,3,3923.2599999999998,3,Loyal Customers
6247821,26,3,1395.26,3,Loyal Customers
6291143,137,2,1666.1999999999998,2,Regular Customers
6319646,131,3,947.0899999999999,2,Regular Customers
6335221,117,2,1945.56,2,Regular Customers
6344345,67,3,2717.31,3,Loyal Customers
6390687,205,2,931.8199999999999,2,Regular Customers
6398761,76,4,5156.79,0,Premium Customers
6459100,80,3,424.85,2,Regular Customers
6579892,10,4,4960.86,0,Premium Customers
6617417,143,1,1829.76,2,Regular Customers
6622751,500,1,728.73,1,At Risk Customers
6637282,166,4,2932.45,3,Loyal Customers
6668498,40,2,997.74,2,Regular Customers
