product_id,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level,profit_amount,cost_price
153019,Onions,Fruits & Vegetables,Aurora LLC,947.95,1263.93,25,3,13,88,236.9875,710.9625
11422,Potatoes,Fruits & Vegetables,Ramaswamy-Tata,127.16,169.55,25,3,20,65,31.79,95.37
669378,Potatoes,Fruits & Vegetables,Chadha and Sons,212.14,282.85,25,3,23,70,53.035,159.105
848226,Tomatoes,Fruits & Vegetables,Barad and Sons,209.59,279.45,25,3,10,51,52.3975,157.1925
890623,Onions,Fruits & Vegetables,"Sangha, Nagar and Varty",354.52,472.69,25,3,27,55,88.63,265.89
965755,Bananas,Fruits & Vegetables,"Doshi, Sarraf and Sama",532.57,710.09,25,3,21,91,133.1425,399.4275
222892,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,869.22,1158.96,25,3,28,88,217.305,651.915
516376,Onions,Fruits & Vegetables,Agarwal-Dhar,877.43,1169.91,25,3,21,71,219.3575,658.0725
39154,Mangoes,Fruits & Vegetables,"Suresh, Bose and Bajwa",946.86,1262.48,25,3,21,84,236.715,710.145
34186,Mangoes,Fruits & Vegetables,Mandal-Kar,925.65,1234.2,25,3,27,74,231.4125,694.2375
196719,Bananas,Fruits & Vegetables,Yogi Group,217.5,290,25,3,15,91,54.375,163.125
478531,Carrots,Fruits & Vegetables,Uppal Group,825.46,1100.61,25,3,24,90,206.365,619.095
812607,Potatoes,Fruits & Vegetables,Rege Group,416.65,555.53,25,3,11,63,104.1625,312.4875
818990,Tomatoes,Fruits & Vegetables,Dugar Group,163.55,218.07,25,3,22,92,40.8875,122.6625
14145,Spinach,Fruits & Vegetables,"Thakur, Shah and Pingle",630.84,841.12,25,3,14,53,157.71,473.13
349294,Onions,Fruits & Vegetables,Ganesan Ltd,934.75,1246.33,25,3,25,70,233.6875,701.0625
847349,Potatoes,Fruits & Vegetables,Chhabra-Agrawal,781.08,1041.44,25,3,26,69,195.27,585.81
871592,Carrots,Fruits & Vegetables,"Shankar, Nadkarni and Kumer",870.29,1160.39,25,3,25,50,217.5725,652.7175
284460,Potatoes,Fruits & Vegetables,"Ramakrishnan, Anand and Khare",505.95,674.6,25,3,21,85,126.4875,379.4625
473929,Carrots,Fruits & Vegetables,"Bhardwaj, Bhatia and Deshmukh",440.19,586.92,25,3,19,70,110.0475,330.1425
77308,Onions,Fruits & Vegetables,Ratta-Sagar,223.27,297.69,25,3,29,91,55.8175,167.4525
654297,Potatoes,Fruits & Vegetables,Chandran-Dass,13.25,17.67,25,3,20,86,3.3125,9.9375
70969,Carrots,Fruits & Vegetables,Mohan Group,631.7,842.27,25,3,25,96,157.925,473.775
552883,Potatoes,Fruits & Vegetables,"Balan, Patel and Mall",888.16,1184.21,25,3,18,94,222.04,666.12
952124,Onions,Fruits & Vegetables,"Wali, Sood and Bala",127.08,169.44,25,3,15,50,31.77,95.31
397973,Bananas,Fruits & Vegetables,"Wable, Randhawa and Mutti",728.73,971.64,25,3,27,82,182.1825,546.5475
555121,Carrots,Fruits & Vegetables,"Subramanian, Chaudhuri and Dora",354.91,473.21,25,3,30,67,88.7275,266.1825
818522,Cheese,Dairy & Breakfast,Hora-Roy,96.09,120.11,20,7,12,90,19.218,76.872
462526,Curd,Dairy & Breakfast,Pau and Sons,449.97,562.46,20,7,25,69,89.994,359.976
376447,Butter,Dairy & Breakfast,Gara and Sons,724.84,906.05,20,7,17,64,144.968,579.872
217710,Eggs,Dairy & Breakfast,Rout-Sarna,58.59,73.24,20,7,19,53,11.718,46.872
146840,Bread,Dairy & Breakfast,"Bains, Deol and Vaidya",786.85,983.56,20,7,19,89,157.37,629.48
89084,Milk,Dairy & Breakfast,"Wali, Virk and Iyer",598.83,748.54,20,7,27,74,119.766,479.064
888807,Bread,Dairy & Breakfast,Arya Group,230.58,288.23,20,7,13,91,46.116,184.464
